prop_name_regex,schema_name,schema_args
interrupts,interrupts,
interrupt-map,interrupt_map,
^(assigned-)?clocks$,phandle_cells,#clock-cells
assigned-clock-parents,phandle_cells,#clock-cells
cooling-device,phandle_cells,#cooling-cells
dmas,phandle_cells,#dma-cells
hwlocks,phandle_cells,#hwlock-cells
interrupts-extended,phandle_cells,#interrupt-cells
io-channels,phandle_cells,#io-channel-cells
iommus,phandle_cells,#iommu-cells
mboxes,phandle_cells,#mbox-cells
msi-parent,phandle_cells,#msi-cells optional
mux-controls,phandle_cells,#mux-control-cells
phys,phandle_cells,#phy-cells
power-domains,phandle_cells,#power-domain-cells
pwms,phandle_cells,#pwm-cells
resets,phandle_cells,#reset-cells
sound-dai,phandle_cells,#sound-dai-cells
"rockchip,codec",phandle_cells,#sound-dai-cells optional
thermal-sensors,phandle_cells,#thermal-sensor-cells
^(?!.*nr-gpios$)(.*[-_])?gpios?$,phandle_cells,#gpio-cells
^.*_gpio_number$,phandle_cells,#gpio-cells
"rockchip,gpios",phandle_cells,#gpio-cells
"rockchip,power-ctrl",phandle_cells,#gpio-cells
"WIFI,host_wake_irq",phandle_cells,#gpio-cells
"BT,wake_host_irq",phandle_cells,#gpio-cells
msi-map,phandle_pattern,IPII
"rockchip,pins",phandle_pattern,IIIP
"rockchip,pmu",phandle_pattern,P
"rockchip,grf",phandle_pattern,P
"rockchip,cru",phandle_pattern,P
interrupt-parent,phandle_pattern,P
^.*\bcpu$,phandle_pattern,P
^.*-supply$,phandle_pattern,P
remote-endpoint,phandle_pattern,P
extcon,phandle_pattern,P
trip,phandle_pattern,P
connect,phandle_pattern,P
devfreq,phandle_pattern,P
devfreq-events,phandle_pattern,P
^(\w+-)?memory-region$,phandle_pattern,P
operating-points-v2,phandle_pattern,P
^pinctrl-[0-9]$,phandle_pattern,P
pm_qos,phandle_pattern,P
affinity,phandle_pattern,P
interrupt-affinity,phandle_pattern,P
nvmem-cells,phandle_pattern,P
cpu-idle-states,phandle_pattern,P
sched-energy-costs,phandle_pattern,P
ports,phandle_pattern,P
mmc-pwrseq,phandle_pattern,P
"arasan,soc-ctl-syscon",phandle_pattern,P
lens-focus,phandle_pattern,P
ddr_timing,phandle_pattern,P
backlight,phandle_pattern,P
native-mode,phandle_pattern,P
